Болгарское наследие;AE;123;5435345;1;Международный туризм
Волшебный Восток;AF;32;423;1;Внутренний туризм
Город с большими амбициями;AG;65;241412;1;Международный туризм
Город четырех ворот;AI;421;4214214;1;Международный туризм
Горячий отдых зимой и летом;AL;32;241412;0;Международный туризм
Древний минск;AM;32;2141421;0;Внутренний туризм
Жемчужина Татарстана;AN;123;42141;0;Внутренний туризм
Знакомьтесь Амстердам!;AO;54;646456;0;Внутренний туризм
Многоликий Сувон;AQ;76;432423;1;Международный туризм
Москва поэтическая;AR ;;97897;1;Внутренний туризм
Незабываемый Дели;AS;98;2442;1;Международный туризм
По старому Таллину;AT;43;86786;0;Внутренний туризм
Сердце Ирана;AU;54;3242;1;Международный туризм
Прекрасные острова Греции;AW;132;765756;0;Внутренний туризм
Свидание с Хельсинки;AX;32;42342;0;Международный туризм
Старый город;AZ;87;76575;0;Внутренний туризм
Финская крепость;BJ;65;43242;0;Международный туризм
Финский романтизм;BO;98;765756;1;Внутренний туризм
Романтика белый ночей;BN;9;42342;1;Международный туризм
